props_pageProps_address_buildings_0_bathroomCondition,props_pageProps_address_buildings_0_buildingName,props_pageProps_address_buildings_0_externalWallMaterial,props_pageProps_address_buildings_0_heatingInstallation,props_pageProps_address_buildings_0_housingArea,props_pageProps_address_buildings_0_kitchenCondition,props_pageProps_address_buildings_0_numberOfFloors,props_pageProps_address_buildings_0_numberOfToilets,props_pageProps_address_buildings_0_roofingMaterial,props_pageProps_address_buildings_0_toiletCondition,props_pageProps_address_buildings_0_yearBuilt,props_pageProps_address_municipality_name,props_pageProps_address_coordinates_lat,props_pageProps_address_coordinates_lon,props_pageProps_address_events_0_at,props_pageProps_address_events_0_label,props_pageProps_dataLayer_virtualPagePath,props_pageProps_dataLayer_detailMetaData
,,,,,,,,,,,København,55.680534,12.578971,2002-12-06T00:00:00Z,Fri handel,/adresse/kronprinsensgade-4-1114-koebenhavn-k-01013992___4_______,value:47000000|sqm:|lastPrice:26500000|sqmPr:undefined|rooms:
,,,,,,,,,,,København,55.722187,12.483108,,,/adresse/virkefeltet-13-2700-broenshoej-01018398__13_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,138.0,Eget køkken med afløb,5.0,1.0,Tegl,Vandskyllende toilet i enheden,1917.0,København,55.663555,12.597999,2020-12-17T10:54:24.537Z,Af markedet,/adresse/norgesgade-19-3-2300-koebenhavn-s-01015064__19__3____,value:2200000|sqm:138|lastPrice:6935000|sqmPr:50253|rooms:
,,,,,,,,,,,København,55.67834,12.575098,,,/adresse/badstuestraede-3-1209-koebenhavn-k-01010304___3_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.651917,12.55247,,,/adresse/teglholmsgade-31-2-2450-koebenhavn-sv-01017352__31__2____,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.66479,12.535407,2021-08-24T08:29:13.187Z,Af markedet,/adresse/bohrsgade-16-1-th-1799-koebenhavn-v-01018836__16__1__th,value:|sqm:|lastPrice:5395000|sqmPr:53415|rooms:
,,,,,,,,,,,København,55.65416,12.550048,2016-01-01T00:00:00Z,Byggeår,/adresse/nordre-teglkaj-16-1-th-2450-koebenhavn-sv-01015050__16__1__th,value:|sqm:|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.71161,12.57412,1997-01-16T00:00:00Z,Fri handel,/adresse/musholmgade-6-2100-koebenhavn-oe-01014868___6_______,value:650000|sqm:|lastPrice:515000|sqmPr:undefined|rooms:
Badeværelse i enheden,Række- og kædehus,Mursten,Fjernvarme/blokvarme,114.0,Eget køkken med afløb,3.0,2.0,Levende tage,Vandskyllende toilet i enheden,2019.0,København,55.641273,12.61031,2019-01-01T00:00:00Z,Byggeår,/adresse/gyldenrisvej-108-2300-koebenhavn-s-01012456_108_______,value:2200000|sqm:114|lastPrice:|sqmPr:|rooms:
,,,,,,,,,,,København,55.65814,12.56188,2021-05-27T21:35:01.93Z,Af markedet,/adresse/martin-luther-kings-vej-13-1-th-2450-koebenhavn-sv-01018843__13__1__th,value:2500000|sqm:|lastPrice:6150000|sqmPr:58571|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,84.0,Eget køkken med afløb,11.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2016.0,København,55.617264,12.570089,2016-01-01T00:00:00Z,Byggeår,/adresse/richard-mortensens-vej-86-6-th-2300-koebenhavn-s-01015833__86__6__th,value:960000|sqm:84|lastPrice:|sqmPr:|rooms:
Badeværelse i enheden,"Etagebolig-bygning, flerfamiliehus eller tofamiliehus",Mursten,Fjernvarme/blokvarme,37.0,Eget køkken med afløb,11.0,1.0,Tagpap med lille hældning,Vandskyllende toilet i enheden,2014.0,København,55.664284,12.622691,2014-01-01T00:00:00Z,Byggeår,/adresse/strandlodsvej-37-2-8-2300-koebenhavn-s-01016996__37__2___8,value:|sqm:37|lastPrice:7000000|sqmPr:189189|rooms:
,,,,,,,,,,,København,55.690224,12.589288,,,/adresse/groenningen-23-1270-koebenhavn-k-01012364__23_______,value:|sqm:|lastPrice:|sqmPr:|rooms:
