"props_pageProps_address_buildings_0_bathroomCondition","props_pageProps_address_buildings_0_buildingName","props_pageProps_address_buildings_0_externalWallMaterial","props_pageProps_address_buildings_0_heatingInstallation","props_pageProps_address_buildings_0_housingArea","props_pageProps_address_buildings_0_kitchenCondition","props_pageProps_address_buildings_0_numberOfFloors","props_pageProps_address_buildings_0_numberOfToilets","props_pageProps_address_buildings_0_roofingMaterial","props_pageProps_address_buildings_0_toiletCondition","props_pageProps_address_buildings_0_yearBuilt","props_pageProps_address_municipality_name","props_pageProps_address_coordinates_lat","props_pageProps_address_coordinates_lon","props_pageProps_address_events_0_at","props_pageProps_address_events_0_label","props_pageProps_dataLayer_virtualPagePath","props_pageProps_dataLayer_detailMetaData"
"","","","","","","","","","","","Halsnæs","55.95922","11.872133","2015-01-22T00:00:00Z","Auktion","/adresse/frederiksvaerkvej-127-3390-hundested-02600362_127_______","value:1950000|sqm:|lastPrice:900000|sqmPr:undefined|rooms:"
"Badeværelse i enheden","Fritliggende enfamilieshus (parcelhus)","Træ","Varmepumpe","122.0","Eget køkken med afløb","1.0","2.0","Betontagsten","Vandskyllende toilet i enheden","2011.0","Halsnæs","55.94618","12.039527","2012-06-19T15:46:00.377Z","Af markedet","/adresse/taarnvaenget-38-3300-frederiksvaerk-02601774__38_______","value:1700000|sqm:122|lastPrice:636000|sqmPr:5213|rooms:"
"Badeværelse i enheden","Kolonihavehus","Træ","Varmepumpe","53.0","Eget køkken med afløb","1.0","1.0","Tagpap med stor hældning","Vandskyllende toilet i enheden","1969.0","Halsnæs","55.95348","11.880303","2021-02-27T16:55:03.57Z","Af markedet","/adresse/noekkevangen-2-3390-hundested-02601039___2_______","value:|sqm:53|lastPrice:699500|sqmPr:13198|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Letbetonsten","Fjernvarme/blokvarme","72.0","Eget køkken med afløb","2.0","1.0","Andet materiale","Vandskyllende toilet i enheden","2019.0","Halsnæs","55.974495","12.018215","2019-01-01T00:00:00Z","Byggeår","/adresse/valsevaerksstraede-13-0-3-3300-frederiksvaerk-02601595__13_st___3","value:1250000|sqm:72|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","56.000584","11.951012","2020-09-18T00:00:00Z","Familiehandel","/adresse/muldbjergvangen-4-3370-melby-02600951___4_______","value:486000|sqm:|lastPrice:413000|sqmPr:undefined|rooms:"
"Adgang til badeværelse","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Letbetonsten","Fjernvarme/blokvarme","23.0","Adgang til fælles køkken","4.0","","Tagpap med lille hældning","Vandskyllende toilet uden for enheden","1975.0","Halsnæs","55.958717","11.879064","1975-01-01T00:00:00Z","Byggeår","/adresse/hoeje-toepholm-24-2-1-3390-hundested-02600623__24__2___1","value:|sqm:23|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","55.961674","11.868496","","","/adresse/vaengevej-10-3390-hundested-02601723__10_______","value:|sqm:|lastPrice:|sqmPr:|rooms:"
"","","","","","","","","","","","Halsnæs","55.975624","12.015363","","","/adresse/krudtvaerksalleen-10-3300-frederiksvaerk-02600783__10_______","value:3250000|sqm:|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Letbetonsten","Fjernvarme/blokvarme","60.0","Eget køkken med afløb","2.0","1.0","Andet materiale","Vandskyllende toilet i enheden","2019.0","Halsnæs","55.97443","12.017827","2019-01-01T00:00:00Z","Byggeår","/adresse/valsevaerksstraede-11-2-2-3300-frederiksvaerk-02601595__11__2___2","value:1050000|sqm:60|lastPrice:|sqmPr:|rooms:"
"Badeværelse i enheden","Etagebolig-bygning, flerfamiliehus eller tofamiliehus","Mursten","Fjernvarme/blokvarme","88.0","Eget køkken med afløb","2.0","1.0","Betontagsten","Vandskyllende toilet i enheden","2011.0","Halsnæs","55.96454","11.850469","2011-01-01T00:00:00Z","Byggeår","/adresse/noerregade-13c-1-tv-3390-hundested-02601040_13c__1__tv","value:700000|sqm:88|lastPrice:|sqmPr:|rooms:"
"Adgang til badeværelse","Kolonihavehus","Træ","Ingen varmeinstallation","40.0","Eget køkken med afløb","1.0","","Tagpap med stor hældning","Intet vandskyllende toilet","1982.0","Halsnæs","55.964184","12.048079","1982-01-01T00:00:00Z","Byggeår","/adresse/moellehavestien-16-3300-frederiksvaerk-02600975__16_______","value:|sqm:40|lastPrice:|sqmPr:|rooms:"
